path,class_name,fold
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs10.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs100.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1000.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1001.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1002.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1003.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1004.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1005.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1006.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1007.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1008.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1009.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs101.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1010.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1011.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1012.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1013.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1014.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1015.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1016.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1017.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1018.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1019.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs102.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1020.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1021.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1022.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1023.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1024.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1025.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1026.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1027.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1028.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1029.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs103.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1030.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1031.jpg,Bacterial_spot227,0
