,Bacterial_spot227,Early_blight227,healthy227,Late_blight227,Leaf_Mold227,Septoria_leaf_spot227,Target_Spot227,Tomato_Yellow_Leaf_Curl_Virus227,Tomato_mosaic_virus227,Two-spotted_spider_mite227
Bacterial_spot227,340,0,1,0,0,0,0,0,0,0
Early_blight227,1,158,0,1,0,0,0,0,0,0
healthy227,0,0,254,0,0,0,0,0,0,0
Late_blight227,0,3,1,300,0,0,0,0,0,0
Leaf_Mold227,0,0,0,0,152,1,0,0,0,0
Septoria_leaf_spot227,0,2,0,0,0,280,0,0,1,0
Target_Spot227,0,0,0,0,0,1,222,0,1,1
Tomato_Yellow_Leaf_Curl_Virus227,0,0,0,0,2,0,0,855,0,0
Tomato_mosaic_virus227,0,0,0,0,0,0,0,0,60,0
Two-spotted_spider_mite227,0,0,0,0,0,0,0,0,1,267
